"player","orapm","drapm","rapm","poss"
"Shai Gilgeous-Alexander",4.82291267860062,3.34618873605727,8.16910141465789,32156
"Nikola Jokic",7.1010343442254,0.777891664016973,7.87892600824238,31599
"Giannis Antetokounmpo",5.50762069400447,1.76305334317209,7.27067403717656,28925
"Franz Wagner",2.77506761528039,2.89249134208948,5.66755895736987,28591
"Herbert Jones",2.21660761314182,3.20140648941248,5.4180141025543,20207
"Kawhi Leonard",4.02143388920507,1.37552197061234,5.39695585981741,21364
"Draymond Green",1.54330339390865,3.64173626719126,5.18503966109991,24579
"Kyrie Irving",4.11157193867463,1.01674409629559,5.12831603497021,25082
"Isaiah Hartenstein",2.56243552767138,2.35266822778175,4.91510375545312,21075
"Luka Doncic",4.05056765138528,0.549098799432734,4.59966645081801,28035
"Ja Morant",2.19801634536961,2.24826743621439,4.44628378158401,16206
"Dorian Finney-Smith",2.57873816900367,1.86044154108169,4.43917971008536,23222
"Derrick White",2.56382094144972,1.77380298410893,4.33762392555865,29960
"Victor Wembanyama",-0.227806341096929,4.50438269290959,4.27657635181266,15403
"Fred VanVleet",2.42365297986921,1.77494720021926,4.19860018008847,29911
"Donovan Mitchell",2.63591163621765,1.53514266677964,4.17105430299729,27222
"Chet Holmgren",2.62261892776317,1.54160521779811,4.16422414556128,14069
"Tobias Harris",1.82266277573298,2.24045736584101,4.063120141574,29047
"Alex Caruso",0.480054327251359,3.50428326370229,3.98433759095365,19140
"Brandin Podziemski",1.17499309120957,2.78677422939983,3.9617673206094,15191
"Steven Adams",2.59186862874214,1.35101528411332,3.94288391285546,7973
"Kevin Durant",3.00264584701332,0.838262376137976,3.8409082231513,27793
"Jordan McLaughlin",1.31206898742562,2.42103041367408,3.7330994010997,6792
"Dean Wade",0.933644885980258,2.69952688744596,3.63317177342622,13364
"Al Horford",2.35610914711722,1.27122629342593,3.62733544054315,21731
"Jimmy Butler",3.43736571090756,0.180316416982752,3.61768212789032,23910
"Jayson Tatum",2.52781616785837,1.08286950325492,3.61068567111329,32793
"Aaron Gordon",1.71266638989203,1.87260085877516,3.58526724866719,23916
"Lonzo Ball",0.998852708853026,2.48560645722196,3.48445916607499,3376
"Stephen Curry",5.17114573623301,-1.73890089719078,3.43224483904223,28119
"AJ Green",0.40532327582892,2.99156675582233,3.39689003165125,10820
"Gui Santos",2.0343934672218,1.36043012349749,3.3948235907193,3878
"Tyrese Haliburton",4.5971781679893,-1.20764757372827,3.38953059426103,27622
"Isaiah Joe",2.09416926483696,1.2883474854415,3.38251675027845,18659
"James Harden",3.25434465436315,-0.0176297602683705,3.23671489409478,29841
"Dereck Lively II",2.21139732134236,0.980225040103083,3.19162236144544,8881
"Ivica Zubac",1.07489570554863,2.115222624959,3.19011833050763,26815
"Anthony Davis",1.28697140746433,1.87824694477342,3.16521835223775,26402
"Luke Kornet",2.74935046411551,0.400008669620139,3.14935913373565,12606
"Anthony Edwards",2.38518068424162,0.654284637586308,3.03946532182793,34929
"Alperen Sengun",2.48101131742988,0.537007419202002,3.01801873663188,27272
"Jarrett Allen",2.71443127970421,0.301100813523077,3.01553209322728,28521
"Lauri Markkanen",2.6019091507981,0.361099500786437,2.96300865158454,23421
"Zion Williamson",2.54832240569022,0.407734077977243,2.95605648366747,16886
"Pascal Siakam",1.50342162112523,1.42027290973766,2.92369453086289,32558
"Joel Embiid",0.314024555540378,2.54162896100115,2.85565351654153,17010
"Paul George",1.4192520215498,1.42907471891661,2.84832674046641,23527
"Rudy Gobert",-0.385025453197274,3.16421733392257,2.77919188072529,29157
"OG Anunoby",0.894529304277951,1.85814510659524,2.75267441087319,27600
"Toumani Camara",0.52026821915641,2.13952236966759,2.659790588824,17626
"Devin Booker",3.67395528773706,-1.0278044930438,2.64615079469326,29105
"Davion Mitchell",0.454497986504569,2.17408156189856,2.62857954840313,18735
"Chris Paul",2.39608521536795,0.221482803984159,2.61756801935211,23471
"Nicolas Batum",0.230993991654414,2.37952095422031,2.61051494587473,18961
"Jusuf Nurkic",1.05763774669443,1.52655601143583,2.58419375813026,18751
"Deni Avdija",2.60787799565852,-0.0449047691144884,2.56297322654403,27017
"Keon Ellis",1.00264412515951,1.558059607671,2.56070373283051,12186
"Amen Thompson",0.646164770339489,1.89377626855006,2.53994103888955,15053
"Jrue Holiday",0.494664332880449,2.02512791837039,2.51979225125084,26318
"Aaron Wiggins",3.15405210521285,-0.642833839816144,2.51121826539671,17907
"Myles Turner",2.35472904434115,0.146719555383982,2.50144859972513,25447
"Rui Hachimura",0.958133097179806,1.53854956055584,2.49668265773565,21571
"Damian Lillard",3.07998898150305,-0.5866777449865,2.49331123651655,28309
"Jamal Murray",4.28728737881289,-1.80239602442328,2.48489135438961,26365
"Norman Powell",0.995349191743717,1.48810992563864,2.48345911738236,22882
"Sam Hauser",2.07909232296954,0.396131954176751,2.47522427714629,18549
"Day'Ron Sharpe",0.642458846389237,1.83017098816244,2.47262983455168,9599
"Evan Mobley",0.656533153609646,1.80956535912489,2.46609851273454,26374
"Josh Hart",2.71079895151846,-0.263544078456216,2.44725487306224,32565
"Kentavious Caldwell-Pope",0.430910794988799,1.98743023615688,2.41834103114568,28740
"Tari Eason",0.885580743152858,1.50775555663946,2.39333629979231,15301
"De'Anthony Melton",2.51283627209931,-0.14074936309493,2.37208690900438,13431
"Chris Boucher",2.16241294219516,0.209209619818372,2.37162256201354,12570
"Karl-Anthony Towns",2.90492459481256,-0.53342176634071,2.37150282847185,22645
"Kenrich Williams",1.12274457178079,1.24715310445323,2.36989767623402,13978
"Kris Dunn",1.08625251325882,1.26347555543443,2.34972806869326,15045
"D'Angelo Russell",1.94625145280914,0.402446511634365,2.34869796444351,26276
"Jock Landale",1.45823353632573,0.87245203599973,2.33068557232546,9376
"Nickeil Alexander-Walker",0.757365728021598,1.57316814425437,2.33053387227597,20111
"Jalen Brunson",4.24149392066451,-1.95498187375839,2.28651204690612,29796
"Brandon Clarke",0.948220703814278,1.33074468733261,2.27896539114688,10421
"Zach Edey",2.23215315260075,0.0460940076182108,2.27824716021896,6119
"Jae'Sean Tate",-0.630634949876102,2.88928137782579,2.25864642794968,9548
"Jevon Carter",0.0939282636960999,2.13001019571441,2.22393845941051,13104
"Miles McBride",0.172476607602233,2.0375145836943,2.20999119129653,14826
"Jaren Jackson Jr.",0.935624136620516,1.2532929540779,2.18891709069841,25971
"Bogdan Bogdanovic",1.63375820593297,0.532759542752759,2.16651774868573,21903
"Monte Morris",1.53284418065768,0.61887967892672,2.1517238595844,11277
"Josh Okogie",-0.350985338282583,2.47610967047956,2.12512433219698,12093
"Tyrese Maxey",3.87798650514778,-1.76415307930895,2.11383342583884,26766
"Isaac Okoro",0.865633884028097,1.23517195571898,2.10080583974708,18682
"Cade Cunningham",1.66368059834681,0.423564605136033,2.08724520348285,20684
"Kevin Huerter",1.99764783743627,0.0767432475154055,2.07439108495167,22811
"Christian Braun",1.90953716306743,0.160399261521775,2.0699364245892,22719
"DeMar DeRozan",2.16389581553625,-0.0952863828144831,2.06860943272177,34557
"Darius Garland",3.490673918507,-1.46752477583628,2.02314914267071,27179
"John Collins",1.59831934351116,0.375231243777256,1.97355058728842,22156
"Ryan Rollins",0.234587364056136,1.73018542046321,1.96477278451935,4015
"Mouhamed Gueye",-0.0336245343115418,1.99657870486901,1.96295417055747,2609
"LeBron James",1.995568308414,-0.0491125112945068,1.94645579711949,29037
"Tre Jones",1.36042637238787,0.572909121405853,1.93333549379372,21381
"Tyler Herro",2.61184228433731,-0.690352397979572,1.92148988635774,26145
"Sam Merrill",0.387821771960875,1.52112787620218,1.90894964816306,10352
"Tony Bradley",0.547298891533341,1.35135588157054,1.89865477310388,636
"Kevon Looney",1.10320558083848,0.769206534419442,1.87241211525792,17802
"Julian Phillips",0.647871316393027,1.19750280381522,1.84537412020825,6104
"Svi Mykhailiuk",1.62657582600171,0.189561754083682,1.81613758008539,6814
"Kristaps Porzingis",1.5473025742206,0.263988420711035,1.81129099493163,20773
"Mitchell Robinson",1.43723813366445,0.347802605836724,1.78504073950118,10570
"Brook Lopez",-0.0262705985174556,1.81127205456123,1.78500145604377,30800
"Moussa Diabaté",0.325154660522899,1.43709274921769,1.76224740974059,5998
"Cameron Payne",1.48475727148013,0.277370510376567,1.7621277818567,13921
"Immanuel Quickley",-0.2967864098543,2.04580624607044,1.74901983621614,21512
"Goga Bitadze",1.01067224715795,0.692489147748315,1.70316139490627,11364
"Robert Covington",0.292311935040988,1.39151213639079,1.68382407143178,5199
"Cameron Johnson",1.99095358430442,-0.337374514538862,1.65357906976555,18643
"Kevin Love",0.747581772581223,0.897059950194202,1.64464172277543,9865
"Aaron Nesmith",2.74162875497968,-1.09999438673768,1.641634368242,20739
"Lamar Stevens",0.102335465277247,1.53046374734108,1.63279921261832,7361
"Donovan Clingan",-0.10234776090749,1.7292898177766,1.62694205686911,5550
"Desmond Bane",1.76967210310924,-0.144122276068784,1.62554982704045,23393
"Malik Beasley",0.910700321370433,0.690168086139305,1.60086840750974,28353
"Daniel Gafford",1.67261729918524,-0.0773076549105498,1.59530964427469,19526
"Luguentz Dort",2.49239225469401,-0.904447394276987,1.58794486041703,27905
"Mike Conley",1.90843304104365,-0.325734643292821,1.58269839775083,24435
"Austin Reaves",2.71729061251236,-1.14189673992104,1.57539387259131,29400
"Dante Exum",1.39222818131424,0.173333087583783,1.56556126889803,6118
"Delon Wright",-0.673341639682476,2.23519508853673,1.56185344885425,10643
"John Konchar",0.0640710025093877,1.47956013670477,1.54363113921416,13483
"Jared Rhoden",1.45201850695162,0.0829768625072593,1.53499536945888,2764
"Bam Adebayo",-0.038224298383071,1.56816164126631,1.52993734288324,30916
"Julius Randle",2.15026168706121,-0.621717822553908,1.5285438645073,26776
"Neemias Queta",2.02991065202866,-0.503594597477478,1.52631605455118,4816
"Domantas Sabonis",2.18153521214751,-0.695431905726429,1.48610330642108,33546
"Hamidou Diallo",0.280342425089358,1.1992750342313,1.47961745932066,4207
"Gary Payton II",1.19701802788446,0.243400840115936,1.4404188680004,8173
"Dennis Smith Jr.",-0.935686851184902,2.37068993575636,1.43500308457146,10074
"T.J. Warren",0.177144120835775,1.25551120296273,1.4326553237985,3398
"Aaron Holiday",-0.519994737763666,1.94885941020039,1.42886467243673,12147
"Dyson Daniels",0.48609023404692,0.936824206550862,1.42291444059778,21005
"Jalen Johnson",-0.406528823884955,1.82069895049915,1.41417012661419,18117
"LaMelo Ball",3.52897468602316,-2.11983971163438,1.40913497438878,14792
"Naji Marshall",0.323449312875833,1.07964875500449,1.40309806788032,20640
"Payton Pritchard",1.08338509590888,0.311289678714986,1.39467477462387,18939
"Onyeka Okongwu",1.87424931129831,-0.494336606184437,1.37991270511387,22605
"Paul Reed",0.89900942077227,0.476327477129425,1.3753368979017,11316
"RayJ Dennis",0.277988811364699,1.087494119315,1.3654829306797,298
"Alex Reese",1.02177927744768,0.322161340278671,1.34394061772635,920
"Jose Alvarado",0.31253416522826,1.02669197365184,1.3392261388801,15313
"Derrick Jones Jr.",0.23211249205746,1.10430300206188,1.33641549411934,18958
"Dillon Brooks",-0.231975620588564,1.56657537960143,1.33459975901286,28248
"Jonathan Isaac",-0.666097291811428,1.97938765117443,1.313290359363,8596
"Ty Jerome",2.4052022554971,-1.09513722982209,1.31006502567501,9299
"Christian Koloko",-0.787401900604616,2.07416826864705,1.28676636804244,4702
"Elijah Harkless",0.328016729812617,0.949844662681613,1.27786139249423,569
"Jalen Suggs",-0.601604003846871,1.87278079683777,1.2711767929909,17635
"Drew Peterson",0.666781229390941,0.604005002903961,1.2707862322949,821
"Devin Carter",0.500939810902115,0.768691945328926,1.26963175623104,1620
"Jakob Poeltl",1.29866214277984,-0.0445991309419236,1.25406301183792,20468
"Ish Wainright",-0.194023610092362,1.44401223279506,1.2499886227027,4065
"Keegan Murray",0.50468652803535,0.744682781690566,1.24936930972592,31526
"Donte DiVincenzo",1.02426690313201,0.20292556224561,1.22719246537762,24213
"Naz Reid",0.095703849781695,1.09355140184188,1.18925525162358,22438
"Jaylen Brown",2.44705741294163,-1.2625962070107,1.18446120593093,28644
"Michael Porter Jr.",2.28409846769322,-1.11705833145606,1.16704013623715,28750
"Jaylen Wells",1.86526489833594,-0.702085707295224,1.16317919104071,8856
"Sidy Cissoko",-1.29875209063332,2.452180440333,1.15342834969968,1074
"Dwight Powell",1.10435111689011,0.0440893741417041,1.14844049103181,11648
"Oscar Tshiebwe",1.24879014093484,-0.101485406618935,1.14730473431591,1230
"Terry Taylor",0.130095873092436,1.00086651091253,1.13096238400497,1904
"De'Andre Hunter",2.03184146211218,-0.915616955834713,1.11622450627747,23468
"Scottie Barnes",0.19892350004298,0.912007568632408,1.11093106867539,28683
"Tyler Smith",-0.0191275627070381,1.12219964599857,1.10307208329153,510
"Guerschon Yabusele",1.68373744231978,-0.582522905784403,1.10121453653538,7589
"Caris LeVert",0.426110392112017,0.664754505818006,1.09086489793002,23729
"Oso Ighodaro",-1.10593221031664,2.1947742300223,1.08884201970565,4257
"Gary Harris",1.31386982104021,-0.246630271195654,1.06723954984455,13015
"Cole Swider",0.0865687277424671,0.923716233119311,1.01028496086178,1254
"Frank Ntilikina",0.637259257024196,0.364909235632441,1.00216849265664,2701
"Khris Middleton",1.75326841946932,-0.758292946858012,0.994975472611312,13398
"De'Aaron Fox",1.27704533661488,-0.282199701588658,0.994845635026222,31030
"Nikola Jović",0.233390306729744,0.740469166492,0.973859473221744,9150
"Alec Burks",0.689495357029181,0.276091575578399,0.965586932607581,13212
"Landry Shamet",-0.133236492160954,1.09398224285723,0.960745750696277,9566
"Coby White",1.7647052610915,-0.835768787049668,0.928936474041829,29434
"Yuki Kawamura",0.460863735164591,0.467403497589555,0.928267232754146,395
"Robert Williams III",-0.632480493484963,1.55945543641529,0.926974942930328,5343
"Daeqwon Plowden",-0.21142892536643,1.12113421571722,0.909705290350792,297
"Damion Lee",-0.766471870344426,1.6740241357116,0.907552265367173,6865
"Cody Martin",-0.718218464855673,1.62576861379634,0.907550148940672,8470
"Trae Young",2.74997780040173,-1.8479731640085,0.902004636393233,31221
"Joe Ingles",1.89589656745316,-1.00002855629247,0.895868011160695,9616
"Anthony Gill",-0.212599550637207,1.10457477113079,0.891975220493586,6187
"Ajay Mitchell",-0.668097659867912,1.54446540429712,0.87636774442921,2448
"Dereon Seabron",0.320818317655717,0.554707436959012,0.875525754614729,277
"Harrison Ingram",0.382638000396043,0.451898832841245,0.834536833237289,151
"Jalen Pickett",-0.162097403985523,0.991240147142933,0.829142743157409,3188
"Cam Spencer",1.14267937068646,-0.321301600564883,0.821377770121574,1063
"Mikal Bridges",0.43345602476125,0.384709168540851,0.818165193302101,36079
"Royce O'Neale",-0.117396003367796,0.920155435603438,0.802759432235642,25431
"Haywood Highsmith",-0.722192728567618,1.52210396407003,0.799911235502417,16719
"Marcus Smart",-0.74512131353307,1.54349275891629,0.798371445383222,13738
"Luke Kennard",2.517811847239,-1.72090318122495,0.796908666014046,15861
"Clint Capela",0.0458582535370808,0.741825460497233,0.787683714034314,20381
"Ausar Thompson",-0.478920446649837,1.26616597905937,0.787245532409529,12228
"Cory Joseph",0.805157466540291,-0.0287272686967057,0.776430197843585,8713
"Larry Nance Jr.",-0.537251453214186,1.26259174491524,0.725340291701049,12662
"Jackson Rowe",0.471821278068224,0.249187687698343,0.721008965766567,223
"Vasilije Micic",-0.424278544353392,1.13654164991299,0.712263105559595,7904
"Jay Huff",0.00873058386684271,0.701371677842177,0.71010226170902,3872
"Armoni Brooks",0.922389833445939,-0.212296222047676,0.710093611398263,422
"Buddy Boeheim",0.156970432607825,0.552170290926647,0.709140723534472,709
"Rudy Gay",0.0880526466716009,0.600945311122933,0.688997957794534,3457
"Oshae Brissett",1.01452716964512,-0.339905998997581,0.674621170647544,7723
"Maxi Kleber",-0.289765248587174,0.953656438917227,0.663891190330053,10056
"Sandro Mamukelashvili",0.422789792607756,0.21613880194018,0.638928594547936,7506
"Jalen Smith",1.11491620296122,-0.483469008098166,0.631447194863053,14080
"Mike Muscala",0.231646455368112,0.399714721297758,0.63136117666587,6560
"David Duke Jr.",0.324160176980942,0.306164634591424,0.630324811572366,1304
"Chimezie Metu",-0.200712697263061,0.829821833590647,0.629109136327586,6500
"Montrezl Harrell",0.0820260062118623,0.533381030740068,0.615407036951931,2831
"Jason Preston",0.459609479185477,0.146430667437878,0.606040146623355,813
"Blake Griffin",0.0622539906326116,0.530990583214377,0.593244573846989,2357
"Isaiah Stewart",-1.16394539289836,1.75676882590389,0.592823433005529,17827
"Furkan Korkmaz",-0.0293548476558114,0.612586987364501,0.58323213970869,2730
"Isaiah Jackson",0.198228561271945,0.370260943365052,0.568489504636997,8074
"Kevon Harris",0.222066660549262,0.332828113464181,0.554894774013443,1912
"Kevin Porter Jr.",-0.773249908093269,1.32344899990861,0.550199091815343,14525
