"player","oapm","dapm","apm","poss"
"Malcolm Cazalon",116.802999081603,-10.9981763825363,105.804822699067,11
"Markquis Nowell",28.5394813800436,61.6508513035125,90.1903326835561,14
"Donovan Williams",52.1797868272803,34.7546297429204,86.9344165702007,19
"Jordan Schakel",80.7260704918379,-0.181128573379815,80.5449419184581,22
"Jahlil Okafor",41.8844828147436,26.1751383319518,68.0596211466954,15
"Deonte Burton",78.9165979442825,-27.1578923024762,51.7587056418064,29
"Cui Yongxi",11.8558490825938,36.3934757971764,48.2493248797702,45
"Dmytro Skapintsev",16.1692418623845,26.4164461654888,42.5856880278733,8
"Filip Petrusev",15.8349973610955,24.2525968026218,40.0875941637173,36
"Alize Johnson",30.5365175816157,9.03030491126404,39.5668224928798,123
"Harrison Ingram",32.6714889121681,5.28803086736624,37.9595197795343,151
"Trevor Hudgins",24.5512625014556,10.8275598823505,35.378822383806,111
"Chris Silva",7.37213024842864,27.4028837411459,34.7750139895746,16
"Dereon Seabron",26.3868091369193,6.99438145778527,33.3811905947045,277
"Jalen Crutcher",-1.97731792505137,32.6486974852358,30.6713795601844,9
"Jackson Rowe",32.8358517916358,-2.19168376140465,30.6441680302311,223
"Zyon Pullin",7.96400359026258,21.1046600429649,29.0686636332275,10
"Nae'Qwan Tomlin",11.8700881446779,16.9979592742998,28.8680474189777,272
"Gabe York",33.6004479721021,-4.75425754172655,28.8461904303755,233
"Marko Simonovic",15.6836997353099,12.6347099548753,28.3184096901853,89
"Armoni Brooks",35.1340700260332,-10.5576371159697,24.5764329100634,422
"Tyler Smith",23.5126318362353,0.854422577859244,24.3670544140945,510
"RayJ Dennis",19.1908099595679,4.31180733868591,23.5026172982538,298
"Nate Hinton",17.8884270006803,5.36649431025738,23.2549213109377,339
"Daeqwon Plowden",10.7857186824292,12.4345442089251,23.2202628913543,297
"Jordan Ford",26.7856029124015,-5.3293089378537,21.4562939745478,85
"Xavier Cooks",30.1725685694301,-8.97911674670422,21.1934518227258,560
"Jarrell Brantley",14.7725856229226,5.71769990557563,20.4902855284982,159
"Izaiah Brockington",70.0096712776596,-50.2550093367979,19.7546619408617,16
"Mac McClung",15.3965580907669,3.53023872683911,18.9267968176061,221
"Tony Bradley",21.1633783926531,-2.40298537637037,18.7603930162827,636
"Isaiah Crawford",15.6967944059492,2.8388918933708,18.53568629932,185
"Isaiah Stevens",-35.3624943489056,53.7317152859335,18.3692209370279,22
"Nikola Jokic",24.2538482689562,-7.92944361870031,16.3244046502559,31599
"Drew Peterson",22.1083975624941,-6.00932789229008,16.099069670204,821
"Shai Gilgeous-Alexander",19.1295137668964,-4.22326417703735,14.906249589859,32156
"Andre Iguodala",18.3099586270034,-4.11040877936408,14.1995498476393,495
"Buddy Boeheim",13.1455632581917,0.447950416917223,13.5935136751089,709
"Giannis Antetokounmpo",20.0505323099012,-6.75232913984587,13.2982031700553,28925
"Elijah Harkless",14.4297855344571,-1.17246127778209,13.257324256675,569
"Yuki Kawamura",19.4909205439139,-6.32632679986476,13.1645937440491,395
"Alex Reese",20.5367602730367,-7.56073460147153,12.9760256715652,920
"Isaiah Mobley",8.74154155818343,4.0852096017041,12.8267511598875,691
"N'Faly Dante",35.7674461783652,-23.3365813890461,12.4308647893191,221
"PJ Hall",11.4060997461814,0.92424438302338,12.3303441292048,256
"RaiQuan Gray",45.4183312691842,-33.2220831868908,12.1962480822934,304
"Herbert Jones",15.1191714576238,-3.11944505953126,11.9997263980925,20207
"Amari Bailey",24.0832290325613,-12.1281616223842,11.9550674101771,261
"Kevon Harris",16.5981142223554,-4.72007817445062,11.8780360479048,1912
"Joshua Primo",18.2111302430222,-6.73580654819678,11.4753236948254,444
"Phillip Wheeler",14.3266878916952,-3.02758811700912,11.2990997746861,176
"Lonzo Ball",14.208190723669,-3.15677697644125,11.0514137472277,3376
"Steven Adams",18.6597986143943,-8.22091236087229,10.438886253522,7973
"Frank Ntilikina",16.5976592584141,-6.22303805551252,10.3746212029016,2701
"Facundo Campazzo",2.59626113689581,7.76473826792728,10.3609994048231,207
"Franz Wagner",16.258174733481,-5.9516075790994,10.3065671543816,28591
"Shaquille Harrison",17.3318385155478,-7.1493667836816,10.1824717318662,530
"Gui Santos",17.3546583913695,-7.18436496950353,10.170293421866,3878
"Oscar Tshiebwe",20.4963918125501,-10.5782931474829,9.91809866506718,1230
"Draymond Green",12.3155774875361,-2.56389701037865,9.75168047715744,24579
"Victor Wembanyama",10.3368409936081,-0.67607264357671,9.66076835003136,15403
"Moussa Diabaté",15.7597104205015,-6.32981888356663,9.42989153693486,5998
"Noah Vonleh",22.3967816082439,-13.0332068031468,9.36357480509705,707
"Jordan McLaughlin",15.2283438804485,-6.20457004974265,9.02377383070584,6792
"Louis King",19.9193762307052,-10.9411427705965,8.9782334601087,124
"Blake Griffin",15.5678163505267,-6.62051794580592,8.94729840472075,2357
"Kyrie Irving",17.6952103893421,-8.80480915880429,8.89040123053784,25082
"Devin Carter",14.7270507886183,-5.83973351398758,8.88731727463068,1620
"Hamidou Diallo",13.7621202274373,-4.96573757475425,8.79638265268305,4207
"Kawhi Leonard",16.9271480006925,-8.31261742903271,8.61453057165978,21364
"Jahmir Young",25.3743369906099,-16.7602853386926,8.61405165191729,130
"Christian Koloko",10.4914529247289,-1.95381994190819,8.53763298282067,4702
"Mouhamed Gueye",11.1134607557144,-2.74046499912643,8.37299575658797,2609
"Henri Drell",29.07208817225,-20.708694172231,8.36339400001907,133
"Keshad Johnson",10.2166238421965,-1.90844818029748,8.30817566189897,418
"Dereck Lively II",16.292135242551,-7.99684168493255,8.29529355761847,8881
"Alperen Sengun",17.3817752358374,-9.17031823243761,8.21145700339979,27272
