"player","oefg_rapm","defg_rapm","otov_rapm","dtov_rapm","oorb_rapm","dorb_rapm","oftr_rapm","dftr_rapm","poss"
"Nikola Jokic",2.69743327628259,-0.45869573191047,-0.961241517771998,0.405004797182153,-0.251218011502746,0.961122426719744,2.15283265522114,2.98844545968606,31599
"Jamal Murray",2.32791112417213,-1.20474403390695,-1.02950971985084,0.586782455223174,-0.344368478744484,-0.379653054914988,-1.53526492368793,1.21299459041028,26365
"Stephen Curry",2.27666653642182,-0.541925132353633,-0.130093906656493,0.238758674103669,-0.733884618945967,0.148908274182398,-0.181783701267249,-0.686100698780928,28119
"Tyrese Haliburton",2.14857152036117,-0.534980096151547,-1.32940063999709,0.119727335401916,-0.688550323975795,0.0843922492734732,0.0947164633559712,0.134912409986814,27622
"Kyrie Irving",2.0601170620409,0.363118392165489,-0.69180588677989,-0.141724884559879,-0.446754074195292,-0.87898685870387,-0.787457271041446,0.230753947487575,25082
"Luke Kornet",1.96679372099187,-0.290606826131682,0.0947325832916238,0.440816545561577,1.31319330651269,0.516568650004242,-1.97049548882602,1.76100757362109,12606
"Giannis Antetokounmpo",1.86305287218934,0.8900885288206,-0.81171301034516,0.573137914962435,0.873105814569032,0.5473047001847,4.75628704865017,0.500544510585125,28925
"Kawhi Leonard",1.78645685564072,0.328019925219924,-1.80160462121341,-0.0925408523109151,-1.06729571164308,0.305566352355402,-0.230652090255479,0.987056292517708,21364
"Aaron Wiggins",1.62577587698816,-0.468844332026964,-0.569554069362912,-0.0268931653620123,-0.648856733191779,-0.824337403942209,-0.715731185318487,0.634139980511721,17907
"Luke Kennard",1.50745855236976,-0.685486320205534,-0.197093447635669,0.474160419135255,-0.767086693080215,-0.367738355658013,-1.10603896887972,-0.304356976166924,15861
"LaMelo Ball",1.4604301429048,-0.540719454737348,-0.193932628109864,0.129317210758669,0.551311984027559,-0.0474686423271374,0.58832495528954,-1.63507862196276,14792
"Sam Hauser",1.43863235385209,-0.111537703688946,-0.608613562477502,1.04590623237888,-0.153982593894399,-0.0762688867301638,-1.46292125947593,0.788772157168901,18549
"Luka Doncic",1.43810437449014,0.169287430482249,-0.977563904547166,-0.271182232601339,-0.601791917087268,0.296119781956869,2.2482385518897,0.292337648424928,28035
